Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 3.9397549629211426, acc 0.0998911860718172
epoch 5100, loss 1.8464778661727905, acc 0.5360174102285092
epoch 5200, loss 1.84602952003479, acc 0.5357997823721437
epoch 5300, loss 1.8455979824066162, acc 0.5353645266594124
epoch 5400, loss 1.8451826572418213, acc 0.5353645266594124
epoch 5500, loss 1.8447847366333008, acc 0.5353645266594124
epoch 5600, loss 1.8444031476974487, acc 0.5355821545157781
epoch 5700, loss 1.8440383672714233, acc 0.5355821545157781
epoch 5800, loss 1.8436870574951172, acc 0.5355821545157781
epoch 5900, loss 1.8433501720428467, acc 0.5353645266594124
epoch 6000, loss 1.8430250883102417, acc 0.5351468988030468
epoch 6100, loss 1.8427128791809082, acc 0.5353645266594124
epoch 6200, loss 1.8424113988876343, acc 0.5351468988030468
epoch 6300, loss 1.8421342372894287, acc 0.5355821545157781
epoch 6400, loss 1.841839075088501, acc 0.5357997823721437
epoch 6500, loss 1.8415675163269043, acc 0.5362350380848748
epoch 6600, loss 1.8413084745407104, acc 0.5362350380848748
epoch 6700, loss 1.8410773277282715, acc 0.5362350380848748
epoch 6800, loss 1.8408043384552002, acc 0.5362350380848748
epoch 6900, loss 1.8405680656433105, acc 0.5360174102285092
epoch 7000, loss 1.8403546810150146, acc 0.5360174102285092
epoch 7100, loss 1.8401180505752563, acc 0.5364526659412405
epoch 7200, loss 1.8399049043655396, acc 0.5366702937976061
epoch 7300, loss 1.8397016525268555, acc 0.5368879216539717
epoch 7400, loss 1.8395065069198608, acc 0.5368879216539717
epoch 7500, loss 1.8393200635910034, acc 0.5368879216539717
epoch 7600, loss 1.839142918586731, acc 0.5368879216539717
epoch 7700, loss 1.8389737606048584, acc 0.5368879216539717
epoch 7800, loss 1.8388113975524902, acc 0.5368879216539717
epoch 7900, loss 1.8386553525924683, acc 0.5368879216539717
epoch 8000, loss 1.8385080099105835, acc 0.537323177366703
epoch 8100, loss 1.8383660316467285, acc 0.5371055495103373
epoch 8200, loss 1.8382294178009033, acc 0.5375408052230686
epoch 8300, loss 1.8380987644195557, acc 0.537323177366703
epoch 8400, loss 1.837973713874817, acc 0.5377584330794342
epoch 8500, loss 1.8378536701202393, acc 0.5377584330794342
epoch 8600, loss 1.837741732597351, acc 0.5377584330794342
epoch 8700, loss 1.8376258611679077, acc 0.5377584330794342
epoch 8800, loss 1.8375186920166016, acc 0.5377584330794342
epoch 8900, loss 1.837437629699707, acc 0.5377584330794342
epoch 9000, loss 1.8374271392822266, acc 0.5375408052230686
epoch 9100, loss 1.8372195959091187, acc 0.5375408052230686
epoch 9200, loss 1.8371262550354004, acc 0.537323177366703
epoch 9300, loss 1.8370414972305298, acc 0.537323177366703
epoch 9400, loss 1.8369479179382324, acc 0.5375408052230686
epoch 9500, loss 1.8368637561798096, acc 0.5377584330794342
epoch 9600, loss 1.8368136882781982, acc 0.5377584330794342
epoch 9700, loss 1.8367128372192383, acc 0.5379760609357997
epoch 9800, loss 1.8366490602493286, acc 0.5379760609357997
epoch 9900, loss 1.8365769386291504, acc 0.5379760609357997
testing...
final test: 0.5493907745865971, std 1.1102230246251565e-16
